N_saisi;PLACETTE;ESS;DIA 1;DIA 2;LONG.;NP
1;12;FR;45;37;8,7;5
2;12;FR;35;;2,3;5
3;12;H;46;;4,1;1
4;12;H;31;;1,2;1
5;13;INCONNU;37;;5;3
6;13;INCONNU;34;;5;1
7;13;ACPL;70;;1,7;3
8;20;INCONNU;31;;4;2
9;25;INCONNU;39;;4;5
10;25;INCONNU;30;51;5,4;5
11;39;INCONNU;32;55;6,5;2
12;39;INCONNU;31;;1,5;2
13;41;SY;30;68;11;1
14;44;E;46;;3,5;5
15;45;E;31;;1,5;5
16;45;INCONNU;31;51;8,79;5
17;55;INCONNU;33;;3;4
18;55;INCONNU;33;;1,5;2
19;55;INCONNU;33;;1,6;4
20;55;INCONNU;35;;1,65;4
21;55;INCONNU;39;;3;2
22;55;INCONNU;33;;4,5;2
23;55;INCONNU;34;;2,4;3
24;55;INCONNU;30;45;6,6;3
25;55;INCONNU;40;;2,9;4
26;59;INCONNU;43;54;5,9;4
27;59;INCONNU;30;38;4,1;4
28;60;INCONNU;35;;1,6;2
29;60;INCONNU;45;;5;2
30;60;INCONNU;63;;1;1
31;60;INCONNU;45;;1;2
32;60;INCONNU;46;;0,9;1
33;60;INCONNU;30;;1,5;1
34;60;INCONNU;62;;1,45;1
35;61;E;48;;1,8;1
36;62;INCONNU;30;;4;2
37;62;INCONNU;31;;1,6;2
38;62;INCONNU;37;53;9,5;2
39;62;INCONNU;41;;1,15;2
40;62;INCONNU;30;;0,1;3
41;62;INCONNU;31;;0,65;2
42;64;INCONNU;93;;2,2;5
43;64;INCONNU;41;;3,4;2
44;64;INCONNU;37;;2,5;1
45;65;INCONNU;33;;3;2
46;65;INCONNU;38;;3;2
47;65;INCONNU;30;49;7,04;2
48;65;INCONNU;43;;2,8;4
49;66;INCONNU;31;;2;2
50;66;INCONNU;33;;1,8;3
51;68;E;30;;1,5;2
52;70;S;30;;5;1
53;71;E;33;;3,05;5
54;71;E;31;;2,5;5
55;71;E;31;;2,45;5
56;81;INCONNU;52;;5;5
57;81;INCONNU;59;31;10,1;2
58;81;INCONNU;52;30;6,2;1
59;82;H;30;;1,5;1
60;85;TR;30;50;20;1
61;99;E;33;;4,18;1
62;99;E;55;;2,4;1
63;100;INCONNU;32;54;8,52;5
64;101;H;30;45;14,3;1
65;103;INCONNU;66;;2,5;3
66;104;INCONNU;30;42;6;1
67;107;BO;34;;0,56;
68;108;INCONNU;41;;4,5;4
69;108;SAUM;35;;3,3;2
70;109;INCONNU;45;58;11,53;5
71;109;INCONNU;32;100;16,82;5
72;109;INCONNU;37;44;9,16;5
73;109;CHAT;35;60;10,85;5
74;110;INCONNU;34;;1,25;1
75;111;INCONNU;32;;1,8;5
76;114;INCONNU;40;30;5,67;5
77;116;INCONNU;34;;3,77;5
78;116;INCONNU;38;30;6,2;4
79;116;INCONNU;95;47;8,3;2
80;116;INCONNU;34;;2;5
81;116;INCONNU;30;73;10,84;4
82;117;INCONNU;34;;1,55;5
83;118;INCONNU;30;36;7,33;4
84;118;INCONNU;30;39;14,13;4
85;119;H;30;54;14;2
86;119;INCONNU;50;30;6;1
87;125;INCONNU;31;;1,24;3
88;125;INCONNU;30;37;5,61;3
89;125;INCONNU;30;43;6,81;1
90;125;INCONNU;32;;1,2;3
91;125;INCONNU;34;;4,68;4
92;125;INCONNU;31;;2;3
93;125;INCONNU;30;51;6,3;4
94;126;E;30;59;12,4;2
95;127;IF;35;;1;4
96;127;INCONNU;30;34;7,74;5
97;128;INCONNU;30;;1,45;1
98;128;INCONNU;32;;3,48;1
99;128;INCONNU;57;;0,71;1
100;128;INCONNU;57;;0,47;1
101;128;INCONNU;32;;1,72;5
102;133;INCONNU;31;;1;1
103;136;E;43;30;9,5;2
104;137;INCONNU;40;;0,85;5
105;137;INCONNU;57;;2,35;5
106;137;INCONNU;83;30;8,9;5
107;138;INCONNU;34;;1,35;4
108;139;INCONNU;36;;4,4;5
109;139;INCONNU;36;;2,77;5
110;139;INCONNU;41;;2,35;3
111;139;INCONNU;35;;1,3;3
112;139;INCONNU;44;38;6,3;5
113;142;INCONNU;31;;4,58;3
114;145;INCONNU;31;;1;1
115;149;INCONNU;37;;1,65;5
116;149;INCONNU;30;44;6,9;4
117;151;INCONNU;35;;1,65;4
118;151;INCONNU;32;;2,1;4
119;151;INCONNU;34;;1,9;4
120;151;INCONNU;30;;1,45;1
121;151;INCONNU;36;;4,08;2
122;151;INCONNU;40;;3;5
123;152;INCONNU;34;;4,86;1
124;152;INCONNU;33;;1,72;1
125;152;INCONNU;30;;2,6;1
126;152;INCONNU;32;;1,1;1
127;152;INCONNU;30;;0,5;3
128;153;INCONNU;34;;3,15;5
129;153;INCONNU;30;;1,5;5
130;153;INCONNU;30;;0,95;2
131;156;INCONNU;30;69;16,5;5
132;159;INCONNU;37;;1,6;3
133;161;INCONNU;41;;3,15;5
134;163;S;79;;1,33;5
135;168;E;30;68;17,24;4
136;168;E;30;72;13,17;4
137;171;E;55;30;12,71;4
138;172;S;35;30;7,7;5
139;172;S;31;;3,3;5
140;172;S;35;30;6,3;5
141;172;S;40;;4,6;5
142;172;S;30;;1,4;5
143;172;E;39;30;10,7;5
144;172;E;44;30;10,8;5
145;172;E;30;;1;5
146;172;S;32;;2,4;4
147;178;INCONNU;38;;3,5;5
148;183;INCONNU;30;38;5,18;5
149;183;E;73;;3;5
150;183;E;31;;3,2;5
151;184;E;100;82;3,4;5
152;189;E;38;;4,57;4
153;189;INCONNU;35;;4,96;5
154;189;INCONNU;25;;2,3;5
155;189;INCONNU;30;40;6,51;5
156;189;INCONNU;32;;1,1;5
157;195;S;31;;1,1;4
158;195;S;32;;3,8;5
159;196;INCONNU;31;;0,9;1
160;199;INCONNU;35;;1,85;5
161;204;INCONNU;31;;2,86;1
162;204;INCONNU;31;;1,17;1
