Id_plac;NUM_ARBR;Cod_ess;Dist_arbre;Az_arbre;OBS_ARBR;Id_arbre;Diam 1;Diam 2
21_73_ONF;85;EPC;"12,7";278;;21_73_ONF_85;27;27
21_73_ONF;86;FRE;"13,6";281;;21_73_ONF_86;28;28
21_73_ONF;87;HET;"13,4";315;VIVANT;21_73_ONF_87;32;37
21_73_ONF;88;HET;"10,9";334;VIVANT;21_73_ONF_88;45;40
21_73_ONF;89;HET;"5,9";10;VIVANT;21_73_ONF_89;52;60
21_73_ONF;90;HET;"5,6";397;;21_73_ONF_90;23;24
21_73_ONF;91;HET;"3,1";21;VIVANT;21_73_ONF_91;53;57
21_73_ONF;92;HET;"9,5";72;VIVANT;21_73_ONF_92;34;31
21_73_ONF;93;CHE;16;49;;21_73_ONF_93;45;56
21_73_ONF;94;CHE;"16,2";53;;21_73_ONF_94;56;49
21_73_ONF;95;FRE;"5,7";96;;21_73_ONF_95;23;24
21_73_ONF;96;FRE;"2,8";139;;21_73_ONF_96;29;29
21_73_ONF;97;CHE;7;138;;21_73_ONF_97;70;61
21_73_ONF;98;ERC;"5,5";207;VIVANT;21_73_ONF_98;34;37
21_73_ONF;99;FRE;"8,3";247;VIVANT;21_73_ONF_99;31;33
21_73_ONF;100;FRE;"8,4";240;;21_73_ONF_100;28;31
21_73_ONF;101;FRE;"8,5";245;;21_73_ONF_101;20;23
21_73_ONF;102;FRE;"13,5";207;;21_73_ONF_102;29;29
21_73_ONF;103;FRE;"13,4";213;;21_73_ONF_103;21;21
21_73_ONF;104;FRE;"13,7";211;VIVANT;21_73_ONF_104;29;31
21_73_ONF;105;FRE;"14,5";219;;21_73_ONF_105;23;24
21_73_ONF;106;FRE;"13,4";239;MORT;21_73_ONF_106;47;42
23_73_ONF;107;HET;"15,5";302;VIVANT;23_73_ONF_107;61;58
23_73_ONF;108;FRE;"7,2";74;;23_73_ONF_108;21;20
23_73_ONF;109;HET;"9,2";99;;23_73_ONF_109;17;22
23_73_ONF;110;HET;"10,2";98;;23_73_ONF_110;24;24
23_73_ONF;111;FRE;"11,5";101;;23_73_ONF_111;20;19
23_73_ONF;112;HET;"6,2";103;;23_73_ONF_112;20;18
23_73_ONF;113;ERS;"12,9";150;;23_73_ONF_113;17;18
25_73_ONF;114;S.P;"14,8";285;VIVANT;25_73_ONF_114;58;53
25_73_ONF;115;S.P;"8,8";295;VIVANT;25_73_ONF_115;38;38
25_73_ONF;116;HET;"9,8";335;VIVANT;25_73_ONF_116;80;76
25_73_ONF;117;S.P;"6,1";368;;25_73_ONF_117;19;18
25_73_ONF;118;S.P;"2,2";33;VIVANT;25_73_ONF_118;47;45
25_73_ONF;119;EPC;"9,2";57;VIVANT;25_73_ONF_119;39;35
25_73_ONF;120;S.P;14;87;VIVANT;25_73_ONF_120;31;31
25_73_ONF;121;S.P;18;83;VIVANT;25_73_ONF_121;56;58
25_73_ONF;122;EPC;"13,6";100;;25_73_ONF_122;24;26
25_73_ONF;123;S.P;"10,8";117;VIVANT;25_73_ONF_123;42;42
25_73_ONF;124;EPC;"11,1";202;VIVANT;25_73_ONF_124;65;63
25_73_ONF;125;S.P;"18,2";201;VIVANT;25_73_ONF_125;62;60
25_73_ONF;126;S.P;"11,4";204;;25_73_ONF_126;20;22
25_73_ONF;127;S.P;"2,6";190;VIVANT;25_73_ONF_127;41;40
25_73_ONF;128;S.P;"2,6";302;VIVANT;25_73_ONF_128;44;39
50_73_ONF;221;S.P;"10,2";266;VIVANT;50_73_ONF_221;65;64
50_73_ONF;222;EPC;"16,5";251;VIVANT;50_73_ONF_222;53;53
50_73_ONF;223;EPC;"16,5";282;VIVANT;50_73_ONF_223;64;64
50_73_ONF;224;S.P;"10,8";311;VIVANT;50_73_ONF_224;66;66
50_73_ONF;225;S.P;"8,8";351;VIVANT;50_73_ONF_225;41;41
50_73_ONF;226;S.P;"16,6";392;VIVANT;50_73_ONF_226;60;60
50_73_ONF;227;S.P;"5,3";389;VIVANT;50_73_ONF_227;42;39
50_73_ONF;228;S.P;"2,5";395;VIVANT;50_73_ONF_228;71;63
50_73_ONF;229;EPC;"9,2";38;;50_73_ONF_229;23;19
50_73_ONF;230;S.P;"15,3";46;VIVANT;50_73_ONF_230;49;47
50_73_ONF;231;S.P;"10,6";56;;50_73_ONF_231;23;21
50_73_ONF;232;EPC;10;77;VIVANT;50_73_ONF_232;44;46
50_73_ONF;233;S.P;"7,5";70;VIVANT;50_73_ONF_233;48;43
50_73_ONF;234;S.P;"12,7";92;;50_73_ONF_234;22;23
50_73_ONF;235;S.P;"11,2";102;;50_73_ONF_235;29;29
50_73_ONF;236;S.P;"12,1";115;;50_73_ONF_236;27;26
50_73_ONF;237;S.P;"14,1";124;VIVANT;50_73_ONF_237;37;34
50_73_ONF;238;S.P;"14,9";125;VIVANT;50_73_ONF_238;46;41
