Cod_ess;Fam_ess1;Fam_ess2;Fam_ess3
MER;F;feu;Autres feu.
SAM;F;feu;Autres feu.
A.F;F;feu;Autres feu.
ALB;F;feu;Autres feu.
ALT;F;feu;Autres feu.
BOU;F;feu;Autres feu.
CHA;F;feu;Autres feu.
CHE;F;feu;Chênes
CHP;F;feu;Chênes
CHS;F;feu;Chênes
CHT;F;feu;Autres feu.
EPC;R;epc;Épicéa
ERA;F;feu;Autres feu.
ERC;F;feu;Autres feu.
ERO;F;feu;Autres feu.
ERP;F;feu;Autres feu.
ERS;F;feu;Érable Sy.
FRE;F;feu;Frêne
HET;F;feu;Hêtre
IFS;R;rdiv;Autres rés.
MEE;R;rdiv;Autres rés.
NOC;F;feu;Autres feu.
NR;X;x;Autres feu.
ORM;F;feu;Autres feu.
P.S;R;rdiv;Autres rés.
P.X;R;rdiv;Autres rés.
PEU;F;feu;Autres feu.
ROB;F;feu;Autres feu.
S.P;R;sap;Sapin
SAU;F;feu;Autres feu.
SOR;F;feu;Autres feu.
TIL;F;feu;Autres feu.
TRE;F;feu;Autres feu.
