Id_plac;Xplac_recale;Yplac_recale;Coupe;Type_ppt
21_73_ONF;"961847,796";"6518073,65";N;12
23_73_ONF;"961857,999";"6520177,279";O;3
24_73_ONF;0;0;N;X
25_73_ONF;"961859,157";"6522276,979";N;13
50_73_ONF;"960804,831";"6521221,346";N;12
70_73_ONF;0;0;N;X
93_73_ONF;"958700,8599";"6514925,992";N;12
145_73_ONF;"955568,1819";6512816;N;1
158_73_ONF;0;0;N;X
159_73_ONF;"954505,725";"6509678,21";N;J
173_73_ONF;0;0;N;X
174_73_ONF;0;0;N;P
175_73_ONF;0;0;N;A
176_73_ONF;0;0;N;A
177_73_ONF;0;0;N;X
178_73_ONF;"953454,618";"6511776,494";N;1
189_73_ONF;0;0;N;X
190_73_ONF;0;0;N;A
192_73_ONF;0;0;N;X
194_73_ONF;0;0;N;X
195_73_ONF;"952409,2807";"6512826,666";N;1GB
207_73_ONF;0;0;N;X
211_73_ONF;0;0;N;X
214_73_ONF;0;0;N;X
226_73_ONF;0;0;N;X
228_73_ONF;0;0;N;X
229_73_ONF;"950307,5315";"6508622,296";N;13GB
230_73_ONF;0;0;N;X
242_73_ONF;0;0;N;X
247_73_ONF;"949256,131";"6509671,186";N;12
249_73_ONF;"949264,377";"6511776,312";N;1
251_73_ONF;0;0;N;X
260_73_ONF;"948199,761";"6503379,803";N;T
265_73_ONF;0;0;N;X
266_73_ONF;"948208,011";"6509656,278";N;13
285_73_ONF;"947149,52";"6503376,189";N;T
286_73_ONF;0;0;N;X
289_73_ONF;"947153,779";"6507575,435";N;13
290_73_ONF;"947156,77";"6508627,186";N;2
312_73_ONF;"946082,7748";"6504429,257";N;12
313_73_ONF;"946105,2737";"6505471,861";N;T
314_73_ONF;0;0;N;X
318_73_ONF;"946105,307";"6510731,682";N;1
323_73_ONF;0;0;N;X
324_73_ONF;0;0;N;X
338_73_ONF;"945057,488";"6504427,616";N;1
342_73_ONF;"945055,4611";"6508621,912";N;T
344_73_ONF;"945063,422";"6510718,426";N;13
349_73_ONF;"945052,0169";"6515979,177";N;12
350_73_ONF;"945033,752";"6517013,431";N;12
352_73_ONF;0;0;N;X
354_73_ONF;"945055,159";"6521224,102";N;1
363_73_ONF;"943994,393";"6502334,325";N;1
364_73_ONF;"944009,819";"6503375,893";N;T
366_73_ONF;"943994,492";"6505476,389";N;1
369_73_ONF;"943985,514";"6508616,884";N;12
372_73_ONF;"943994,003";"6511758,493";N;1
375_73_ONF;0;0;N;R
376_73_ONF;"943995,442";"6515977,371";N;23
391_73_ONF;"942948,2358";"6503370,03";N;23
396_73_ONF;"942943,602";"6508637,823";N;J
399_73_ONF;"942948,673";"6511780,564";N;1
400_73_ONF;0;0;N;X
414_73_ONF;"941898,765";"6499244,379";N;T
415_73_ONF;"941900,056";"6500221,251";N;T
416_73_ONF;"941889,749";"6501282,349";N;3
417_73_ONF;"941904,773";"6502314,226";N;12
418_73_ONF;"941905,315";"6503373,513";N;12
422_73_ONF;0;0;N;X
425_73_ONF;0;0;N;X
426_73_ONF;"941902,355";"6511772,951";N;1
436_73_ONF;"941906,81";"6522277,876";N;A
439_73_ONF;0;0;N;X
441_73_ONF;"940848,824";"6499174,701";N;T
442_73_ONF;0;0;N;X
443_73_ONF;"940850,769";"6501265,411";O;J
444_73_ONF;"940853,882";"6502320,144";N;12
447_73_ONF;"940855,954";"6505495,303";N;1
454_73_ONF;"940859,622";"6512828,662";N;23
466_73_ONF;0;0;N;X
467_73_ONF;"939816,6916";"6497076,421";N;T
469_73_ONF;"939808,6123";"6499176,533";N;13
470_73_ONF;"939803,003";"6500232,552";N;1
474_73_ONF;"939813,091";"6504419,393";N;12
478_73_ONF;"939795,35";"6508624,764";N;2
479_73_ONF;"939799,543";"6509671,143";N;12
480_73_ONF;"939799,625";"6510722,531";N;12
481_73_ONF;"939803,933";"6511776,567";N;2
482_73_ONF;"939794,462";"6512833,708";N;23
497_73_ONF;0;0;N;X
498_73_ONF;"938751,784";"6501271,88";N;1
501_73_ONF;"938752,887";"6504416,53";N;12
502_73_ONF;"938755,711";"6505472,381";N;T
503_73_ONF;0;0;N;X
504_73_ONF;"938755,036";"6507567,458";N;13
505_73_ONF;"938760,725";"6508623,897";N;C
506_73_ONF;"938755,907";"6509668,006";N;C
507_73_ONF;"938747,882";"6510724,923";N;J
508_73_ONF;0;0;N;X
511_73_ONF;0;0;N;X
520_73_ONF;"937708,6817";"6501279,563";N;J
522_73_ONF;0;0;N;X
523_73_ONF;"937711,063";"6504426,858";N;12
528_73_ONF;"937704,812";"6509676,655";N;1
533_73_ONF;0;0;N;X
534_73_ONF;"937715,122";"6515970,879";N;1
550_73_ONF;"936648,905";"6507568,368";N;T
556_73_ONF;"936654,416";"6513868,036";O;1
557_73_ONF;"936656,0353";"6514920,175";N;12
560_73_ONF;"936654,495";"6518075,836";N;J
565_73_ONF;0;0;N;X
575_73_ONF;"935604,263";"6507572,304";N;12
576_73_ONF;0;0;N;X
579_73_ONF;"935604,358";"6511773,924";O;T
580_73_ONF;"935598,5595";"6512823,144";N;13
585_73_ONF;0;0;N;X
586_73_ONF;"935609,056";"6519122,243";N;1
587_73_ONF;"935598,369";"6520162,98";N;T
597_73_ONF;"934554,276";"6504419,643";N;1
598_73_ONF;"934553,889";"6505473,322";N;T
605_73_ONF;"934554,951";"6512817,185";N;J
608_73_ONF;0;0;N;X
617_73_ONF;"933507,452";"6504424,013";N;13GB
618_73_ONF;"933504,06";"6505477,316";N;C
626_73_ONF;"933504,442";"6513872,999";N;2
628_73_ONF;"933503,672";"6515976,846";N;12
635_73_ONF;0;0;N;X
641_73_ONF;"932453,778";"6510728,315";O;1GB
642_73_ONF;"932455,457";"6511768,052";N;13
643_73_ONF;"932455,697";"6512813,64";N;13GB
644_73_ONF;"932459,248";"6513874,894";N;1
646_73_ONF;"932457,296";"6515968,868";O;1GB
651_73_ONF;"931394,587";"6505486,252";N;T
658_73_ONF;0;0;N;X
667_73_ONF;"930349,41";"6507574,916";N;T
668_73_ONF;0;0;N;X
672_73_ONF;"930328,3383";"6512831,891";N;T
1105_73_ONF;0;0;N;X
1106_73_ONF;0;0;N;X
3341_73_ONF;"962901,56";"6521227,916";N;J
10_74_ONF;"947591,491";"6529153,398";N;L
14_74_ONF;"946549,791";"6527056,756";N;1
15_74_ONF;"946539,882";"6528095,194";N;13
36_74_ONF;0;0;N;T
46_74_ONF;"942345,497";"6527045,904";N;12
47_74_ONF;0;0;N;X
48_74_ONF;"942347,345";"6529199,608";N;J
49_74_ONF;"942341,363";"6530214,281";N;12
52_74_ONF;"942344,943";"6533359,465";N;3
62_74_ONF;"941292,515";"6531255,476";N;13
63_74_ONF;"941297,352";"6532303,819";N;L
121_74_ONF;0;0;N;X
132_74_ONF;0;0;N;X
133_74_ONF;0;0;N;X
137_74_ONF;"941294,502";"6523905,773";N;12
139_74_ONF;"939191,535";"6523917,525";N;1GB
167_74_ONF;"937097,496";"6521814,554";N;12
176_74_ONF;"939199,196";"6520761,753";N;12
179_74_ONF;"936046,252";"6520758,347";N;2
205_74_ONF;"949704,106";"6522860,276";N;J
206_74_ONF;0;0;N;X
208_74_ONF;0;0;N;X
209_74_ONF;"949696,173";"6518656,39";N;C
210_74_ONF;"949678,073";"6517602,515";N;1
211_74_ONF;"949697,545";"6516559,054";N;23
212_74_ONF;"949700,834";"6515509,72";N;1
213_74_ONF;"949688,738";"6514452,521";N;1
217_74_ONF;"950751,304";"6522865,333";N;12
218_74_ONF;"950743,197";"6521806,895";N;23
219_74_ONF;"950750,208";"6520739,261";N;3
220_74_ONF;"950755,015";"6519707,104";N;12
222_74_ONF;"950744,816";"6517594,189";O;1
223_74_ONF;"950747,977";"6516562,249";N;Ch
224_74_ONF;0;0;N;X
232_74_ONF;"951798,772";"6519700,795";N;1
235_74_ONF;"951794,447";"6516549,572";N;1GB
236_74_ONF;"951798,793";"6515505,074";N;X
237_74_ONF;0;0;N;X
239_74_ONF;"952841,705";"6524948,886";N;23
246_74_ONF;"952840,788";"6517607,019";N;12
247_74_ONF;"952849,414";"6516534,611";N;1GB
255_74_ONF;"953890,204";"6520768,846";O;J
257_74_ONF;"953909,144";"6518640,786";N;C
258_74_ONF;"953903,498";"6517610,237";N;12
259_74_ONF;"953895,388";"6516554,45";N;12
264_74_ONF;"954939,943";"6523911,38";N;23
267_74_ONF;"954944,77";"6520758,954";N;C
268_74_ONF;"954950,693";"6519697,384";N;R
270_74_ONF;"954950,355";"6517605,818";O;12
271_74_ONF;"954950,457";"6516548,79";N;1
283_74_ONF;"955993,29";"6516552,109";N;13
285_74_ONF;"955998,036";"6514439,76";N;1
307_74_ONF;"958092,675";"6516564,65";N;J
314_74_ONF;"959145,772";"6520762,837";O;1GB
315_74_ONF;"959155,809";"6519709,863";N;13
317_74_ONF;"959146,803";"6517616,485";N;1
325_74_ONF;"960185,589";"6520759,956";O;12
326_74_ONF;0;0;N;X
349_74_ONF;0;0;N;X
364_74_ONF;"951800,783";"6527062,796";N;T
1_IRSTEA;"937999,726";"6495494,236";O;T
2_IRSTEA;"934996,633";"6497484,523";N;CH
3_IRSTEA;"935991,27";"6497490,813";N;CH
4_IRSTEA;"938006,456";"6497496,838";O;12
6_IRSTEA;0;0;N;X
7_IRSTEA;"935004,02";"6499495,958";N;CH
8_IRSTEA;"937997,9716";"6499496,543";N;CH
9_IRSTEA;"942000,3178";"6499500,482";N;T
10_IRSTEA;"943000,739";"6499501,067";N;T
11_IRSTEA;"945998,7052";"6499504,653";N;1
